date,pageid,username,ipaddress,script_name,querystring,browser,language,exec
09/02/2004 15:24:08,home,,"10.33.34.30",/fullxml4/Default.asp,,IE 6.0,fr,265
09/02/2004 15:24:12,{a4773c12-6b3d-4e4a-8e95-77e0405486df},,"10.33.34.30",/fullxml4/default.asp,mID=samples&pID={a4773c12-6b3d-4e4a-8e95-77e0405486df},IE 6.0,fr,140
09/02/2004 15:24:14,dbms,,"10.33.34.30",/fullxml4/default.asp,mID=samples&pID=dbms,IE 6.0,fr,250
09/02/2004 15:24:23,private,,"10.33.34.30",/fullxml4/default.asp,mID=main&pID=private,IE 6.0,fr,140
09/02/2004 15:24:24,home,,"10.33.34.30",/fullxml4/default.asp,mID=main&pID=home,IE 6.0,fr,218
09/02/2004 15:24:57,home,guest,"10.33.34.30",/fullxml4/default.asp,mID=main&pID=home,IE 6.0,fr,265
09/02/2004 15:25:00,{a4773c12-6b3d-4e4a-8e95-77e0405486df},guest,"10.33.34.30",/fullxml4/default.asp,mID=samples&pID={a4773c12-6b3d-4e4a-8e95-77e0405486df},IE 6.0,fr,187
09/02/2004 15:25:08,home,,"10.33.34.30",/fullxml4/default.asp,,IE 6.0,fr,234
09/02/2004 15:25:12,home,,"10.33.34.30",/fullxml4/default.asp,,IE 6.0,fr,218
09/02/2004 15:25:17,home,test@fullxml.com,"10.33.34.30",/fullxml4/default.asp,,IE 6.0,fr,312
09/02/2004 15:25:29,home,test@fullxml.com,"10.33.34.30",/fullxml4/default.asp,,IE 6.0,fr,312
09/02/2004 15:25:37,{a4773c12-6b3d-4e4a-8e95-77e0405486df},test@fullxml.com,"10.33.34.30",/fullxml4/default.asp,mID=samples&pID={a4773c12-6b3d-4e4a-8e95-77e0405486df},IE 6.0,fr,203
09/02/2004 15:25:49,private,test@fullxml.com,"10.33.34.30",/fullxml4/default.asp,mID=main&pID=private,IE 6.0,fr,234
09/02/2004 15:25:51,home,test@fullxml.com,"10.33.34.30",/fullxml4/default.asp,mID=main&pID=home,IE 6.0,fr,296
09/02/2004 15:25:54,{a4773c12-6b3d-4e4a-8e95-77e0405486df},test@fullxml.com,"10.33.34.30",/fullxml4/default.asp,mID=samples&pID={a4773c12-6b3d-4e4a-8e95-77e0405486df},IE 6.0,fr,203
09/02/2004 15:27:01,home,,"10.33.34.30",/fullxml4/default.asp,,IE 6.0,fr,234
09/02/2004 15:27:08,home,author,"10.33.34.30",/fullxml4/default.asp,,IE 6.0,fr,296
09/02/2004 15:27:11,{a4773c12-6b3d-4e4a-8e95-77e0405486df},author,"10.33.34.30",/fullxml4/default.asp,mID=samples&pID={a4773c12-6b3d-4e4a-8e95-77e0405486df},IE 6.0,fr,183
09/02/2004 15:27:13,dbms,author,"10.33.34.30",/fullxml4/default.asp,mID=samples&pID=dbms,IE 6.0,fr,300
09/02/2004 15:27:29,home,,"10.33.34.30",/fullxml4/default.asp,,IE 6.0,fr,214
09/02/2004 15:28:26,home,test@fullxml.com,"10.33.34.30",/fullxml4/default.asp,,IE 6.0,fr,277
09/02/2004 15:28:32,{a4773c12-6b3d-4e4a-8e95-77e0405486df},test@fullxml.com,"10.33.34.30",/fullxml4/default.asp,mID=samples&pID={a4773c12-6b3d-4e4a-8e95-77e0405486df},IE 6.0,fr,531
09/02/2004 15:28:52,home,,"10.33.34.30",/fullxml4/default.asp,,IE 6.0,fr,250
09/02/2004 15:28:56,home,author,"10.33.34.30",/fullxml4/default.asp,,IE 6.0,fr,281
09/02/2004 15:30:12,{a4773c12-6b3d-4e4a-8e95-77e0405486df},author,"10.33.34.30",/fullxml4/default.asp,mID=samples&pID={a4773c12-6b3d-4e4a-8e95-77e0405486df},IE 6.0,fr,187
09/02/2004 15:32:01,{a4773c12-6b3d-4e4a-8e95-77e0405486df},author,"10.33.34.30",/fullxml4/default.asp,mID=samples&pID={a4773c12-6b3d-4e4a-8e95-77e0405486df},IE 6.0,fr,187
09/02/2004 15:32:14,{a4773c12-6b3d-4e4a-8e95-77e0405486df},author,"10.33.34.30",/fullxml4/default.asp,mID=samples&pID={a4773c12-6b3d-4e4a-8e95-77e0405486df},IE 6.0,fr,187
